PROVINCIA,CANTON,MES,DIA,HORA,CLASE,CAUSA,ZONA,NUM_LESIONADO,NUM_FALLECIDO,TOTAL_VICTIMAS
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,NOVIEMBRE,DOMINGO,04:00 A 04:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,RURAL,1,0,1
TUNGURAHUA,AMBATO,ABRIL,SÁBADO,04:00 A 04:59,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,URBANA,2,1,3
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,1,0,1
TUNGURAHUA,AMBATO,SEPTIEMBRE,DOMINGO,04:00 A 04:59,ATROPELLOS,EMBRIAGUEZ O DROGA,URBANA,0,1,1
TUNGURAHUA,AMBATO,JULIO,SÁBADO,04:00 A 04:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,DOMINGO,04:00 A 04:59,CHOQUES,MAL REBASAMIENTO INVADIR CARRIL,RURAL,0,1,1
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,FEBRERO,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,1,2
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,SÁBADO,04:00 A 04:59,CHOQUES,EMBRIAGUEZ O DROGA,RURAL,0,0,0
GUAYAS,SAMBORONDÓN,FEBRERO,MIÉRCOLES,04:00 A 04:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,JUEVES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,MARZO,MIÉRCOLES,04:00 A 04:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,MARTES,04:00 A 04:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
CHIMBORAZO,CHAMBO,MARZO,SÁBADO,04:00 A 04:59,ROZAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,PEDRO MONCAYO,MARZO,VIERNES,04:00 A 04:59,CHOQUES,MAL REBASAMIENTO INVADIR CARRIL,URBANA,1,1,2
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,DOMINGO,04:00 A 04:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
COTOPAXI,LATACUNGA,ABRIL,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,1,1
COTOPAXI,SALCEDO,ABRIL,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
LOS RÍOS,PUEBLOVIEJO,ABRIL,MARTES,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,NARANJITO,ABRIL,DOMINGO,04:00 A 04:59,OTROS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ABRIL,SÁBADO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,DAULE,MAYO,DOMINGO,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,GUAYAQUIL,MAYO,DOMINGO,04:00 A 04:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MAYO,LUNES,04:00 A 04:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,JUNIO,MIÉRCOLES,04:00 A 04:59,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,URBANA,0,0,0
LOJA,LOJA,JUNIO,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,2,0,2
LOJA,LOJA,JUNIO,MIÉRCOLES,04:00 A 04:59,ATROPELLOS,EXCESO VELOCIDAD,RURAL,0,1,1
LOS RÍOS,BABAHOYO,JUNIO,SÁBADO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
MANABÍ,MONTECRISTI,JUNIO,MIÉRCOLES,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,1,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,JUEVES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,LUNES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
CHIMBORAZO,RIOBAMBA,JULIO,MIÉRCOLES,04:00 A 04:59,PÉRDIDA DE PISTA,EMBRIAGUEZ O DROGA,URBANA,0,0,0
IMBABURA,ANTONIO ANTE,JULIO,DOMINGO,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
MANABÍ,MANTA,JULIO,SÁBADO,04:00 A 04:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
MANABÍ,MANTA,JULIO,SÁBADO,04:00 A 04:59,PÉRDIDA DE PISTA,EMBRIAGUEZ O DROGA,URBANA,2,0,2
GUAYAS,GUAYAQUIL,JULIO,SÁBADO,04:00 A 04:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JULIO,JUEVES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,AGOSTO,SÁBADO,04:00 A 04:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,AGOSTO,MARTES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
GUAYAS,GUAYAQUIL,AGOSTO,SÁBADO,04:00 A 04:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
GUAYAS,GUAYAQUIL,AGOSTO,SÁBADO,04:00 A 04:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,3,0,3
GUAYAS,URBINA JADO,SEPTIEMBRE,LUNES,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
GUAYAS,GUAYAQUIL,SEPTIEMBRE,SÁBADO,04:00 A 04:59,PÉRDIDA DE PISTA,EMBRIAGUEZ O DROGA,URBANA,0,0,0
GUAYAS,GUAYAQUIL,SEPTIEMBRE,VIERNES,04:00 A 04:59,CHOQUES,EXCESO VELOCIDAD,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SEPTIEMBRE,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SEPTIEMBRE,DOMINGO,04:00 A 04:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SEPTIEMBRE,JUEVES,04:00 A 04:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,SEPTIEMBRE,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,OCTUBRE,LUNES,04:00 A 04:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,1,0,1
GUAYAS,EL TRIUNFO,OCTUBRE,SÁBADO,04:00 A 04:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,OCTUBRE,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,OCTUBRE,LUNES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
MANABÍ,MANTA,OCTUBRE,DOMINGO,04:00 A 04:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
PICHINCHA,RUMIÑAHUI,OCTUBRE,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,NOVIEMBRE,JUEVES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
LOS RÍOS,BABAHOYO,DICIEMBRE,DOMINGO,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
SANTA ELENA,SANTA ELENA,DICIEMBRE,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,BALZAR,DICIEMBRE,MARTES,04:00 A 04:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,1,1
LOS RÍOS,BABAHOYO,DICIEMBRE,DOMINGO,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
GUAYAS,PALESTINA,DICIEMBRE,DOMINGO,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,MILAGRO,DICIEMBRE,SÁBADO,04:00 A 04:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,2,0,2
PICHINCHA,CAYAMBE,DICIEMBRE,DOMINGO,04:00 A 04:59,CHOQUES,EMBRIAGUEZ O DROGA,RURAL,0,0,0
AZUAY,CUENCA,DICIEMBRE,MARTES,04:00 A 04:59,ESTRELLAMIENTOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,RURAL,0,0,0
IMBABURA,IBARRA,FEBRERO,MARTES,04:00 A 04:59,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,RURAL,0,0,0
GUAYAS,GUAYAQUIL,JUNIO,SÁBADO,04:00 A 04:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
LOJA,LOJA,SEPTIEMBRE,SÁBADO,04:00 A 04:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA, ,0,0
AZUAY,CUENCA,DICIEMBRE,DOMINGO,04:00 A 04:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,3,0,3
TUNGURAHUA,AMBATO,FEBRERO,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
TUNGURAHUA,AMBATO,NOVIEMBRE,JUEVES,04:00 A 04:59,CHOQUES,EXCESO VELOCIDAD,URBANA,0,0,0
GUAYAS,GUAYAQUIL,ENERO,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,SÁBADO,04:00 A 04:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
LOJA,LOJA,FEBRERO,JUEVES,04:00 A 04:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
GUAYAS,GUAYAQUIL,FEBRERO,VIERNES,04:00 A 04:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,1,1
SANTA ELENA,SALINAS,FEBRERO,LUNES,04:00 A 04:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,1,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,SÁBADO,04:00 A 04:59,VOLCAMIENTOS,EXCESO VELOCIDAD,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,DOMINGO,04:00 A 04:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,DOMINGO,04:00 A 04:59,VOLCAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,PEDRO CARBO,MAYO,JUEVES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
MANABÍ,CHONE,MAYO,DOMINGO,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
LOS RÍOS,BABAHOYO,JULIO,VIERNES,04:00 A 04:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,2,0,2
GUAYAS,BALZAR,JULIO,MARTES,04:00 A 04:59,VOLCAMIENTOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,RURAL,0,0,0
GUAYAS,NARANJAL,DICIEMBRE,DOMINGO,04:00 A 04:59,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,1,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MAYO,MARTES,04:00 A 04:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,JUNIO,SÁBADO,04:00 A 04:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,0,0,0
EL ORO,EL GUABO,AGOSTO,DOMINGO,04:00 A 04:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
TUNGURAHUA,AMBATO,NOVIEMBRE,DOMINGO,04:00 A 04:59,ESTRELLAMIENTOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
GUAYAS,GUAYAQUIL,ENERO,DOMINGO,05:00 A 05:59,ATROPELLOS,EXCESO VELOCIDAD,URBANA,0,1,1
LOS RÍOS,BABAHOYO,ENERO,MIÉRCOLES,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,DAULE,ENERO,SÁBADO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,BALZAR,ENERO,VIERNES,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,SAMBORONDÓN,ENERO,VIERNES,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,MEJIA,ENERO,MIÉRCOLES,05:00 A 05:59,VOLCAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
MANABÍ,SANTA ANA,ENERO,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,MAL ESTADO DE LA VÍA,RURAL,2,0,2
MANABÍ,CHONE,ENERO,SÁBADO,05:00 A 05:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,1,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,VIERNES,05:00 A 05:59,OTROS,OTRAS CAUSAS,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ENERO,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,FEBRERO,LUNES,05:00 A 05:59,ROZAMIENTOS,MAL REBASAMIENTO INVADIR CARRIL,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,FEBRERO,SÁBADO,05:00 A 05:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
PICHINCHA,MEJIA,FEBRERO,SÁBADO,05:00 A 05:59,ATROPELLOS,IMPRUDENCIA  DEL PEATÓN,RURAL,0,2,2
ESMERALDAS,QUININDE,FEBRERO,DOMINGO,05:00 A 05:59,OTROS,OTRAS CAUSAS,URBANA,0,0,0
LOS RÍOS,BABAHOYO,FEBRERO,LUNES,05:00 A 05:59,CHOQUES,MAL REBASAMIENTO INVADIR CARRIL,RURAL,2,0,2
LOS RÍOS,VENTANAS,FEBRERO,SÁBADO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
GUAYAS,PLAYAS,FEBRERO,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
GUAYAS,SAMBORONDÓN,FEBRERO,MIÉRCOLES,05:00 A 05:59,PÉRDIDA DE PISTA,MAL REBASAMIENTO INVADIR CARRIL,URBANA,0,0,0
GUAYAS,GUAYAQUIL,MARZO,JUEVES,05:00 A 05:59,ESTRELLAMIENTOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
GUAYAS,GUAYAQUIL,MARZO,JUEVES,05:00 A 05:59,CHOQUES,EXCESO VELOCIDAD,URBANA,0,0,0
COTOPAXI,SIGCHOS,MARZO,SÁBADO,05:00 A 05:59,PÉRDIDA DE PISTA,MAL ESTADO DE LA VÍA,URBANA,1,0,1
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,MARZO,SÁBADO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
CAÑAR,CAÑAR,MARZO,SÁBADO,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,2,1,3
LOS RÍOS,VINCES,MARZO,VIERNES,05:00 A 05:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,RURAL,0,0,0
GUAYAS,DURÁN,MARZO,DOMINGO,05:00 A 05:59,VOLCAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
EL ORO,PORTOVELO,MARZO,DOMINGO,05:00 A 05:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,RURAL,0,0,0
GUAYAS,DURÁN,MARZO,DOMINGO,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,2,0,2
GUAYAS,NARANJAL,MARZO,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,5,0,5
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MARZO,SÁBADO,05:00 A 05:59,ATROPELLOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
GUAYAS,GUAYAQUIL,ABRIL,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,0,0,0
GUAYAS,GUAYAQUIL,ABRIL,SÁBADO,05:00 A 05:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
COTOPAXI,LATACUNGA,ABRIL,DOMINGO,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
MORONA SANTIAGO,HUAMBOYA,ABRIL,LUNES,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,1,1
SANTO DOMINGO DE LOS TSÁCHILAS,LA CONCORDIA,ABRIL,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
EL ORO,MACHALA,ABRIL,MIÉRCOLES,05:00 A 05:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,RURAL,2,0,2
GUAYAS,NARANJITO,ABRIL,DOMINGO,05:00 A 05:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,RURAL,0,0,0
GUAYAS,MILAGRO,ABRIL,SÁBADO,05:00 A 05:59,CAÍDA DE PASAJEROS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ABRIL,MARTES,05:00 A 05:59,CHOQUES,EMBRIAGUEZ O DROGA,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ABRIL,SÁBADO,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,ABRIL,DOMINGO,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,1,0,1
GUAYAS,EL TRIUNFO,MAYO,SÁBADO,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,3,0,3
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MAYO,SÁBADO,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,MAYO,MARTES,05:00 A 05:59,CHOQUES,MAL REBASAMIENTO INVADIR CARRIL,URBANA,0,0,0
GUAYAS,GUAYAQUIL,MAYO,MIÉRCOLES,05:00 A 05:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,MAYO,MIÉRCOLES,05:00 A 05:59,ATROPELLOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,1,0,1
GUAYAS,GUAYAQUIL,JUNIO,JUEVES,05:00 A 05:59,PÉRDIDA DE PISTA,EMBRIAGUEZ O DROGA,URBANA,0,0,0
GUAYAS,GUAYAQUIL,JUNIO,SÁBADO,05:00 A 05:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
PICHINCHA,MEJIA,JUNIO,VIERNES,05:00 A 05:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
CHIMBORAZO,RIOBAMBA,JUNIO,MARTES,05:00 A 05:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
PICHINCHA,RUMIÑAHUI,JUNIO,SÁBADO,05:00 A 05:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
SANTA ELENA,SALINAS,JUNIO,SÁBADO,05:00 A 05:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,2,0,2
GUAYAS,EL EMPALME,JUNIO,MIÉRCOLES,05:00 A 05:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,2,0,2
SANTA ELENA,SANTA ELENA,JUNIO,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,0,0,0
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,SÁBADO,05:00 A 05:59,CHOQUES,EXCESO VELOCIDAD,URBANA,0,2,2
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,JUNIO,VIERNES,05:00 A 05:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
NAPO,TENA,JULIO,DOMINGO,05:00 A 05:59,ATROPELLOS,EXCESO VELOCIDAD,RURAL,0,1,1
COTOPAXI,LATACUNGA,JULIO,DOMINGO,05:00 A 05:59,OTROS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
COTOPAXI,SIGCHOS,JULIO,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,FACTORES CLIMÁTICOS,RURAL,0,2,2
CHIMBORAZO,RIOBAMBA,JULIO,DOMINGO,05:00 A 05:59,PÉRDIDA DE PISTA,EXCESO VELOCIDAD,URBANA,0,0,0
LOS RÍOS,BABA,JULIO,SÁBADO,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
GUAYAS,MILAGRO,JULIO,MARTES,05:00 A 05:59,PÉRDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
ZAMORA CHINCHIPE,PAQUISHA,AGOSTO,JUEVES,05:00 A 05:59,VOLCAMIENTOS,MAL ESTADO DE LA VÍA,RURAL,1,0,1
BOLÍVAR,GUARANDA,AGOSTO,SÁBADO,05:00 A 05:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
CAÑAR,CAÑAR,AGOSTO,MIÉRCOLES,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,6,2,8
GUAYAS,GENERAL  ANTONIO ELIZALDE,AGOSTO,DOMINGO,05:00 A 05:59,ROZAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,1,0,1
EL ORO,EL GUABO,AGOSTO,DOMINGO,05:00 A 05:59,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,RURAL,2,0,2
PICHINCHA,DISTRITO METROPOLITANO DE QUITO,AGOSTO,SÁBADO,05:00 A 05:59,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,URBANA,0,0,0
GUAYAS,GUAYAQUIL,AGOSTO,JUEVES,05:00 A 05:59,ESTRELLAMIENTOS,EXCESO VELOCIDAD,URBANA,0,0,0
MANABÍ,MANTA,AGOSTO,DOMINGO,05:00 A 05:59,CHOQUES,NO RESPETA LAS SEÑALES DE TRÁNSITO,URBANA,0,0,0
